nome,data_nasc,cpf,mae,celular,email,telefone_fixo
Cauã Isaac Caldeira,02-03-1945,35083528118,Vitória Kamilly Sueli ,989048340,cauaisaaccaldeira__cauaisaaccaldeira@hardquality.com.br,28317237
Lúcia Carolina Luzia Almada,11-11-1946,6480417194,Stefany Teresinha ,997275887,luciacarolinaluziaalmada_@santarte.com,27446850
Vicente Marcos Edson Castro,15-01-1959,72192158432,Cecília Laura Larissa ,994560743,vicentemarcosedsoncastro-74@lavorosjc.com.br,28581372
Yago Pedro Henrique da Cruz,24-10-1945,68328310562,Cristiane Pietra ,982340551,yagopedrohenriquedacruz_@elevaconsultancy.com.br,25189906
Valentina Stefany Alana Cardoso,23-03-1953,76298423761,Francisca Adriana ,999976430,valentinastefanyalanacardoso..valentinastefanyalanacardoso@galvao.com,26584091
Daiane Bruna Martins,13-03-1975,40147483913,Vitória Brenda Helena ,986360458,daianebrunamartins__daianebrunamartins@segplanet.com.br,37465939
Pietro Sebastião Gomes,27-11-1988,52679447506,Milena Betina Priscila ,988514077,pietrosebastiaogomes-84@dominiozeladoria.com.br,38899861
Matheus Gustavo Daniel Bernardes,11-09-1985,81611057906,Mirella Nicole Letícia ,997980837,mmatheusgustavodanielbernardes@bplan.com.br,38206507
Sabrina Aparecida Mirella Ribeiro,17-05-1993,6712757630,Cláudia Sophia ,991806203,sabrinaaparecidamirellaribeiro__sabrinaaparecidamirellaribeiro@wwlimpador.com.br,38299799
Rita Juliana da Luz,09-08-1947,81496796772,Analu Luiza Lorena ,988848829,ritajulianadaluz_@bhcervejas.com.br,35050497
Manuel Luiz da Cunha,08-03-1951,80203646410,Julia Isabelly Patrícia ,986124390,manuelluizdacunha..manuelluizdacunha@revati.com.br,28539873
Rayssa Daiane Priscila Alves,21-08-1950,31145926355,Ester Aline ,981428044,rrayssadaianepriscilaalves@cbsaperfeicoamento.com.br,35055812
Yuri Enrico Cauê Gomes,11-01-1960,56688127075,Carla Josefa Catarina ,998045602,yurienricocauegomes-87@band.com,27222086
Alice Caroline Caldeira,18-10-1986,22588802974,Vera Louise Adriana ,986358796,alicecarolinecaldeira-96@marmorariauchoa.com,35595474
Rodrigo Osvaldo Fernandes,05-05-1975,78328739577,Daniela Julia Clara ,991105304,rodrigoosvaldofernandes..rodrigoosvaldofernandes@rocketmail.com,37608312
Letícia Márcia Vieira,03-01-1968,14489374348,Carolina Sophie ,999434571,leticiamarciavieira_@maissaude.adm.br,25071526
Edson Elias Cavalcanti,25-09-1956,68145675391,Luciana Beatriz ,984188835,edsoneliascavalcanti-73@trt15.jus.br,28526539
Danilo João Mateus Ribeiro,11-09-1984,69347803103,Jéssica Sophia ,983425138,danilojoaomateusribeiro..danilojoaomateusribeiro@hotmail.com,27495757
Raquel Sarah Giovanna Assis,26-04-1940,70641400802,Maitê Eliane Teresinha ,994853725,raquelsarahgiovannaassis__raquelsarahgiovannaassis@purkyt.com,26450460
Benedito Marcos Vinicius Tomás Caldeira,20-03-1949,11362393320,Nair Rita ,991966342,beneditomarcosviniciustomascaldeira-82@edpbr.com.br,35977657
Igor Bernardo Pires,25-09-1969,6962838913,Sônia Caroline Giovanna ,985140206,igorbernardopires..igorbernardopires@gm.com,26819676
Aline Emanuelly Sarah Alves,12-07-1973,55867458016,Elisa Louise Mariah ,986010925,alineemanuellysarahalves_@gmai.com,36544900
Enrico Vinicius André Peixoto,13-11-1950,74783576106,Isabel Sandra Mirella ,996064948,enricoviniciusandrepeixoto__enricoviniciusandrepeixoto@ipek.net.br,27266132
Alícia Márcia Emilly Ferreira,20-09-1969,87260256125,Julia Eloá Rita ,998853640,aliciamarciaemillyferreira..aliciamarciaemillyferreira@tkk.com.br,25058416
