nome,data_nasc,cpf,tipo_sanguineo,peso,altura
Alice Liz Adriana Duarte,22/10/1975,58548099313,O-,89,"1,57"
Kaue César Lima,01/01/1900,31515413217,AB-,62,"1,99"
Otávio Felipe Henry Almeida,10/01/1951,58271711156,A-,85,"1,66"
Rafaela Francisca Mendes,07/11/1974,31087464641,O+,46,"1,74"
Bryan Joaquim Roberto Rosa,07/09/1957,61606247174,AB-,66,"1,67"
Caue Nicolas Moura,01/01/1900,62890372502,B-,82,"1,68"
Anthoni Raimundo Corte Real,01/01/1900,19003075298,B+,54,"1,89"
André Juan Silva,23/04/1974,67940082892,B+,70,"1,87"
Benício Iago Silveira,01/01/1900,00000000000,O+,97,"1,72"
Rodrigo Calebe João Goncalves,01/01/1900,53328045554,O+,84,"1,98"
Bárbara Analu Monteiro,25/12/1965,73534823893,O-,46,"1,62"
Aline Emanuelli Sarah Alves,12/07/1973,55867458016,B-,49,"1,69"
Pietro Sebastião Gomes,27/11/1988,52679447506,B-,74,"1,62"
Rayssa Simone Pereira,02/10/1963,43058344481,A+,57,"1,76"
Sabrina Natália Lorena Vieira,01/01/1900,91034860879,A+,74,"1,50"
Matheus Francisco Elias Nascim,24/06/1948,64306570436,B-,98,"1,76"
Anderson Raul Rafael Assuncão,20/02/1900,24186583250,AB+,54,"1,75"
Rodrigo Luís Figueiredo,02/09/1955,99578985908,B-,90,"1,84"
Lucca Carlos Ferreira,01/01/1900,3360816420,O-,99,"1,74"
Betina Elaine Drumond,17/08/1995,00000000000,AB-,74,"1,58"
Giovanni Ian Drumond,08/02/1959,75484625491,AB-,65,"1,91"
Sandra Vitória Lavínia Barros,10/07/1958,00000000000,AB+,85,"1,78"
Raquel Agatha Caldeira,01/10/1951,51091360332,O-,84,"1,50"
Manoel Lorenzo Manuel Rodrigue,25/07/1966,27496580392,A-,103,"1,99"
Julia Stefany Olivia Goncalves,04/05/1951,34670147200,AB+,45,"1,80"
Juliana Evelyn Corte Real,17/10/1950,48208883310,O-,58,"1,80"
Francisca Fabiana Carolina Mar,12/01/1946,98498119278,AB+,64,"1,72"
Giovanna Milena Costa,15/10/1973,30436667711,A+,80,"1,57"
Pedro Marcos Tiago Galvão,08/08/1987,00000000000,B-,101,"1,91"
Sarah Heloisa Moura,09/01/1974,63268813585,B+,83,"1,74"
Nicolas Anderson Daniel Luz,06/11/1979,41933221658,AB-,52,"1,63"
Elisa Regina Fernanda Pereira,13/07/1969,92959393953,O+,66,"1,80"
Isabel Clarice Viana,05/04/1976,25737720390,B+,52,"1,62"
Mariah Eloá Cavalcanti,06/10/1965,2833997590,AB-,88,"1,51"
Eliane Marina Ayla Rocha,20/11/1964,20857181670,A-,52,"1,84"
Nathan Carlos Eduardo Isaac Fr,23/02/2001,40605647534,B-,97,"1,77"
Marcela L Priscila Mata,24/06/1996,32517176930,AB+,85,"1,85"
Ryan R Luan Ribeiro,05/02/1970,98931846304,AB-,90,"1,76"
Cecília Teresinha Mariana Mont,12/11/1946,54681642649,O+,52,"1,59"
Milena Andreia Nunes,01/07/1976,52607105250,B-,54,"1,74"
Kevin Anthony Thales Barbosa,11/03/1998,267627904,AB-,99,"1,62"
Henrique Marcos Peixoto,24/05/1942,54452605184,AB+,66,"1,66"
Jennifer A Sabrina Paz,20/04/1942,00000000000,O-,71,"1,82"
Calebe Gustavo Davi Cruz,01/01/1900,89510873870,B+,106,"1,64"
