nome,data_nasc,cpf,mae,celular,email,telefone_fixo
Rafael André Giovanni Jesus,01-11-1957,31530695732,Isabelly Allana Daniela ,987274821.0,rafaelandregiovannijesus-77@rafaeladson.com,39353911.0
Mateus Danilo Lorenzo Viana,23-12-1964,58574457442,Alana Benedita Ana ,982077539.0,mateusdanilolorenzoviana_@oxiteno.com,28135724.0
Mariah S Kamilly Nogueir,04-09-1982,89916916330,Catarina Jennifer ,993355273.0,mariahsabrinakamillynogueira..mariahsabrinakamillynogueira@deskprint.com.br,29866688.0
Ester Maya Rezende,16-02-1972,32767223308,Luna Marcela Márcia ,988312648.0,estermayarezende__estermayarezende@fortlar.com.br,37616397.0
Giovanni Ian Drumond,08-02-1959,75484625491,Evelyn Bruna Mirella ,986772100.0,giovanniiandrumond_@fernandaleal.com.br,39710848.0
Simone Agatha Cláudia Cavalcan,12-02-1959,6727062293,Giovanna Josefa ,987833768.0,simoneagathaclaudiacavalcanti__simoneagathaclaudiacavalcanti@vlcorporate.com,35301171.0
Bento Arthur Pereira,05-05-1989,10584095309,Lara Jennifer ,985496704.0,bentoarthurpereira__bentoarthurpereira@maxilajes.com.br,28566028.0
Danilo João Mateus Ribeiro,11-09-1984,69347803103,Jéssica Sophia ,983425138.0,danilojoaomateusribeiro..danilojoaomateusribeiro@hotmail.com,27495757.0
Lucas Jorge Nelson Brito,12-02-2000,11038673003,Laís Helena Isabela ,987037961.0,lucasjorgenelsonbrito_@mucoucah.com.br,39913384.0
Daiane Bruna Martins,13-03-1975,40147483913,Vitória Brenda Helena ,986360458.0,daianebrunamartins__daianebrunamartins@segplanet.com.br,37465939.0
Fábio Kevin Pires,04-05-1951,32026592942,Amanda Ayla Pietra ,991478569.0,fabiokevinpires..fabiokevinpires@salvadorlogistica.com.br,26297294.0
Isaac Henry Vinicius Cavalcant,23-08-1983,31466304197,Mariana Alana Heloisa ,995954296.0,isaachenryviniciuscavalcanti__isaachenryviniciuscavalcanti@keffin.com.br,35294512.0
Sandra Mariane Carolina Brito,21-11-2001,55095391007,Beatriz Giovana ,986796293.0,ssandramarianecarolinabrito@infilink.com.br,25016649.0
Bryan Joaquim Roberto Rosa,07-09-1957,61606247174,Fabiana Emily ,984851623.0,bryanjoaquimrobertodarosa-96@balaiofilmes.com.br,35480675.0
Sueli Clara Hadassa Cruz,08-04-1991,64692449713,Aline Marina Francisca ,989657164.0,sueliclarahadassadacruz-87@cntbrasil.com.br,35443789.0
Arthur Felipe Mota,26-09-1998,53529039748,Patrícia Fabiana Daiane ,986919066.0,arthurfelipedamota-80@editorazap.com.br,28860019.0
Leandro Miguel Silveira,16-06-1978,41044650036,Bruna Vera Gabrielly ,994308453.0,leandromiguelsilveira_@agacapital.com.br,28000242.0
Larissa Carolina Bárbara Luz,10-12-1992,59717963649,Luciana Manuela ,996117777.0,larissacarolinabarbaradaluz..larissacarolinabarbaradaluz@uninet.com.br,35131850.0
Liz Simone Figueiredo,19-01-1949,28648830826,Patrícia Isadora ,998756035.0,lizsimonefigueiredo..lizsimonefigueiredo@w3ag.com,25469488.0
Giovanni Ruan Mota,09-12-1967,61861154887,Tânia Tereza ,986572734.0,giovanniruandamota-73@quarttus.com.br,26405737.0
Diego Márcio Severino Fernande,14-05-1984,33968990919,Patrícia Alana ,996203620.0,diegomarcioseverinofernandes-76@maptec.com.br,29756239.0
Teresinha Bárbara Baptista,12-12-1968,95309716645,Jéssica Adriana Sebastiana ,994449606.0,teresinhabarbarabaptista__teresinhabarbarabaptista@rgsa.com.br,38918659.0
Bryan Emanuel André Aragão,10-01-1958,11830881671,Eduarda Fátima Isis ,997034701.0,bryanemanuelandrearagao_@microlasersp.com.br,35745360.0
Agatha Marli Almeida,14-08-1986,58198259937,Débora Brenda Ayla ,992134403.0,aagathamarlialmeida@bcconsult.com.br,27873359.0
Luiza Francisca Marlene Brito,12-04-1989,87852129463,Julia Débora Sandra ,987119986.0,luizafranciscamarlenebrito..luizafranciscamarlenebrito@toysbrasil.com.br,28970375.0
Kaue César Lima,18-08-1989,31515413217,Bruna Beatriz Manuela ,987451648.0,kauecesarlima-84@bds.com.br,35853679.0
Raimunda Bruna Carvalho,11-12-1944,90890908001,Regina Jéssica Priscila ,994642673.0,rraimundabrunacarvalho@cancaonova.com,28228562.0
Raimunda Luiza Nunes,06-08-1976,75892539792,Rosângela Isadora Raimunda ,999021549.0,raimundaluizanunes-80@reconciliare.com.br,38839082.0
Sarah Heloisa Moura,09-01-1974,63268813585,Carolina Alessandra ,995231105.0,sarahheloisamoura-97@gmaill.com,28207213.0
Benedita Alice Novaes,09-04-1962,2413385657,Mariana Lorena Olivia ,995667071.0,bbeneditaalicenovaes@live.co.uk,26594458.0
