nome,data_nasc,cpf,tipo_sanguineo,peso,altura
Bryan Raimundo Rocha,22/11/1947,67055709890,O-,83,"1,99"
Carlos Victor Assuncão,01/01/1900,76920106680,AB-,84,"1,96"
Fábio Eduardo Campos,13/03/1953,57995115652,A-,95,"1,93"
Eduardo Iago Oliveira,01/01/1900,47817877971,A-,82,"1,61"
Clara Isabelli Marli Fogaca,17/03/1949,5306193501,AB+,75,"1,76"
Anderson Caleb Carlos Eduardo ,01/01/1900,77557528522,O-,62,"1,71"
Sérgio Daniel Paz,08/01/1900,88423561070,O-,86,"1,81"
Vicente Marcos Edson Castro,15/01/1959,72192158432,A-,65,"1,88"
Laís Sabrina Jéssica Mota,17/02/2001,6092851652,O-,46,"1,77"
Yuri Alexandre Leonardo Lopes,03/08/1963,95808869200,O+,92,"1,68"
Benedito Isaac Alves,05/06/1987,91866402919,A-,74,"1,77"
Iago Roberto Santos,16/01/1983,17888939562,B+,58,"1,80"
Ricardo Kevin Nelson Rodrigues,15/02/1951,35583449446,A+,106,"1,61"
Larissa Fátima Clarice Peixoto,06/03/1981,91267295040,O-,65,"1,57"
Ruan Diogo Cardoso,04/05/1981,56689548708,A-,94,"1,99"
Larissa M Gabriela Nogueira,01/01/1900,7146862712,A+,64,"1,77"
Helena Isabella Fabiana Aparíc,14/01/1962,41785755463,O-,67,"1,61"
Arthur L Carlos Eduardo Cunha,16/10/1959,51365499472,B-,63,"1,63"
Antonio Guilherme Anderson San,01/01/1900,64279706158,AB-,80,"1,77"
Elaine Rafaela Vera Duarte,05/08/1950,92237724865,O+,67,"1,81"
Isadora Beatriz Pietra Paula,16/06/1900,33561254195,A-,45,"1,60"
Laura Sueli Mirella Monteiro,19/04/1987,72137333031,A-,90,"1,79"
Vitor Thiago Souza,27/03/1971,12271483301,AB+,82,"1,62"
Rosangela Sara Santos,05/04/1999,30547913788,B+,86,"1,83"
Sabrina Aparecida Mirella Ribe,17/05/1993,6712757630,A-,68,"1,70"
Lara Beatriz Silveira,19/02/1900,58061724146,AB+,48,"1,85"
Julia Bárbara Bianca Carvalho,16/01/1956,61496589610,A+,78,"1,79"
João Cláudio Silveira,23/02/1956,97555611457,AB-,85,"1,86"
Eduardo I Kaue Peixoto,18/02/1973,72789776067,A-,66,"1,62"
Juliana Evelyn Corte Real,17/10/1950,48208883310,O-,58,"1,80"
Mateus Danilo Lorenzo Viana,23/12/1964,58574457442,B-,90,"1,70"
Renata Luana Aragão,01/01/1900,43965727354,AB-,48,"1,65"
Liz Simone Figueiredo,19/01/1949,28648830826,O-,84,"1,83"
Silvana Vera Ana Paz,25/12/1990,88579653509,B-,72,"1,66"
Pedro Henrique Iago Samuel Paz,19/08/1960,26640860490,A+,101,"1,99"
Alice Liz Adriana Duarte,22/10/1975,58548099313,O-,89,"1,57"
Matheus Martin Fernando Concei,01/09/1969,57305453803,B-,65,"1,92"
Raimunda Luiza Nunes,06/08/1976,75892539792,O+,65,"1,57"
Lorena Alice Pires,05/05/1957,32013102046,B+,79,"1,85"
Sebastião Thales Almada,21/10/1988,60244442223,O+,109,"1,60"
Alessandra Luana Farias,01/01/1900,29531116970,B-,59,"1,68"
Laís Rita Campos,16/03/1980,32260507530,AB-,57,"1,61"
Murilo José Emanuel Santos,01/11/1972,94043420170,A+,100,"1,80"
Isabel Clarice Viana,05/04/1976,25737720390,B+,52,"1,62"
Antonio Albuquerque Silva,24-07-1980,58762423819,A-,80,"1,82"
Iago Davi Bernardo Teixeira,01/01/1900,41217734708,O-,79,"1,81"
Edson Henry Joaquim Luz,10/02/1900,48981198403,B-,90,"1,76"
Ester Vera Ferreira,23/01/1977,60805627901,A+,81,"1,66"
Aparecida Mariah Cunha,06/05/1961,3044018978,O+,66,"1,85"
Jennifer A Sabrina Paz,01/01/1900,29873400010,O-,71,"1,82"
Cauã Paulo Luan Martins,11/07/1951,99095411575,B-,85,"1,94"
Marina Ana Alves,19/08/1969,77221648972,A+,69,"1,64"
Luiz Lucas Assuncão,22/02/1953,74924001953,B-,53,"1,61"
Leonardo Tiago Luan Brito,19/04/2000,48741894669,AB+,64,"1,85"
Kaue César Lima,01/01/1900,31515413217,AB-,62,"1,99"
Bernardo Ryan Aragão,25/10/1961,27260460105,O-,54,"1,99"
Sarah Heloisa Moura,09/01/1900,63268813585,B+,83,"1,74"
Manuel Rodrigo Moraes,13/03/1939,52484498802,AB+,90,"1,72"
Pietro Sebastião Gomes,27/11/1988,52679447506,B-,74,"1,62"
Benedita Alice Novaes,09/04/1962,2413385657,A+,50,"1,83"
Yasmin Pietra Rocha,08/07/1959,29438244700,O-,85,"1,59"
Gael Manuel Gustavo Drumond,07/10/1900,79919461180,AB+,106,"1,81"
Letícia Márcia Vieira,01/03/1968,14489374348,B-,67,"1,76"
Rebeca Tania Ferreira,03/02/1994,21067013903,O+,62,"1,53"
Márcia Isabela Aline Cruz,01/01/1900,93562030169,AB+,60,"1,80"
Bryan Joaquim Roberto Rosa,07/09/1957,61606247174,AB-,66,"1,67"
Nicolas Vitor Moreira,01/03/2000,58891264660,B-,98,"1,84"
Giovanni Ian Drumond,08/02/1959,75484625491,AB-,65,"1,91"
Clara Mariane Alícia Duarte,25/07/1984,92149986396,A-,59,"1,52"
Manoel Iago Kevin Ferreira,20/09/1962,19934854309,B-,67,"1,77"
Manuela Jennifer Rezende,06/09/1941,16635610790,B-,76,"1,84"
Nicolas Diogo Kaue Alves,13/02/1966,43778886762,AB+,71,"1,97"
Severino Julio Bernardes,14/10/1949,42926476663,B+,53,"1,82"
Joaquim Bento Gabriel Nogueira,01/01/1900,93254040449,B-,100,"1,78"
Mariah Eliane Santos,06/04/1980,90217632815,A-,54,"1,78"
Emilly Sarah Drumond,01/01/1900,35010247542,AB-,57,"1,54"
Sueli Clara Hadassa Cruz,08/04/1991,64692449713,A+,67,"1,55"
Augusto Bento Marcos Vinicius ,12/11/1942,97838143381,O+,77,"1,90"
Mariah S Kamilly Nogueira,04/09/1900,89916916330,O-,56,"1,76"
Isaac Juan Araújo,01/01/1900,12918113972,A+,74,"1,93"
Cláudia Bruna Ribeiro,10/03/1946,3943613186,B+,53,"1,82"
Jéssica Rayssa Lúcia Aragão,17/12/1942,79184036141,B-,59,"1,84"
Pedro Marcos Tiago Galvão,01/01/1900,76732145126,B-,101,"1,91"
Joaquim Otávio Rafael Barbosa,14/10/1942,62180461410,O+,93,"1,82"
Lúcia Emanuelly Silva,09/04/1900,37212141372,A-,57,"1,54"
Paulo Miguel Galvão,15/01/1981,15898736530,O+,81,"1,75"
Sueli Brenda Ribeiro,03/05/1994,51063181810,A+,66,"1,64"
Alícia Bárbara Cavalcanti,16/05/1992,31276561148,A-,55,"1,58"
Raquel Agatha Caldeira,01/10/1951,51091360332,O-,84,"1,50"
Joaquim Francisco Dias,04/02/1971,40933210191,B+,66,"1,86"
Nicolas José Gael Barbosa,04/08/1980,78831496522,B-,95,"1,83"
Benedita Regina Cavalcanti,01/01/1900,29409544700,A+,87,"1,83"
Manuela Giovana Almeida,19/06/1971,71704624860,AB+,55,"1,79"
Anderson Guilherme Assis,13/08/1983,17399643652,B-,87,"1,91"
